ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1652991075,1727704418,1727704418822,1727704429,1727704429249,0,2,0,2,2,0,0,0,1,0.02,0.02,2631.8,0.0,0.0,2636.956,0.0,XAUUSDm,,
1652996285,1727704508,1727704508208,1727710038,1727710038616,0,2,0,2,4,0,1652996285,0,1,0.02,0.0,2633.8,0.0,0.0,2633.799,0.0,XAUUSDm,,
1652996806,1727704516,1727704516494,1727713792,1727713792681,0,2,0,2,2,0,0,0,1,0.02,0.02,2632.8,0.0,0.0,2637.159,0.0,XAUUSDm,,
1652997574,1727704529,1727704529302,1727710451,1727710451793,0,2,0,2,4,0,1652997574,0,1,0.02,0.0,2632.8,0.0,0.0,2632.791,0.0,XAUUSDm,,
1653320106,1727710047,1727710047014,1727713763,1727713763664,0,2,0,2,2,0,0,0,1,0.02,0.02,2630.8,0.0,0.0,2637.012,0.0,XAUUSDm,,
1653320798,1727710065,1727710065310,1727713789,1727713789677,0,2,0,2,2,0,0,0,1,0.02,0.02,2633.8,0.0,0.0,2637.285,0.0,XAUUSDm,,
1653422458,1727713710,1727713710307,1727713710,1727713710962,0,0,0,0,4,0,1653422458,0,1,0.02,0.0,0.0,0.0,0.0,2637.207,0.0,XAUUSDm,,
1653423260,1727713755,1727713755532,1727713756,1727713756161,0,0,0,0,4,0,1653423260,0,1,0.02,0.0,0.0,0.0,0.0,2637.01,0.0,XAUUSDm,,
1653423955,1727713785,1727713785651,1727713786,1727713786302,0,0,0,0,4,0,1653423955,0,1,0.02,0.0,0.0,0.0,0.0,2637.25,0.0,XAUUSDm,,
1653424630,1727713806,1727713806758,1727713807,1727713807402,0,0,0,0,4,0,1653424630,0,1,0.02,0.0,0.0,0.0,0.0,2636.327,0.0,XAUUSDm,,
1653502410,1727716492,1727716492305,1727716492,1727716492307,0,1,0,1,4,0,1652996285,0,4,0.02,0.0,2640.4,0.0,0.0,2640.4,0.0,XAUUSDm,[sl 2640.400],
1653502411,1727716492,1727716492305,1727716492,1727716492307,0,1,0,1,4,0,1652997574,0,4,0.02,0.0,2640.4,0.0,0.0,2640.4,0.0,XAUUSDm,[sl 2640.400],
1653502412,1727716492,1727716492305,1727716492,1727716492306,0,1,0,1,4,0,1653422458,0,4,0.02,0.0,2640.4,0.0,0.0,2640.4,0.0,XAUUSDm,[sl 2640.400],
1653502413,1727716492,1727716492305,1727716492,1727716492308,0,1,0,1,4,0,1653423260,0,4,0.02,0.0,2640.4,0.0,0.0,2640.4,0.0,XAUUSDm,[sl 2640.400],
1653502415,1727716492,1727716492305,1727716492,1727716492308,0,1,0,1,4,0,1653423955,0,4,0.02,0.0,2640.4,0.0,0.0,2640.4,0.0,XAUUSDm,[sl 2640.400],
1653502416,1727716492,1727716492305,1727716492,1727716492309,0,1,0,1,4,0,1653424630,0,4,0.02,0.0,2640.4,0.0,0.0,2640.4,0.0,XAUUSDm,[sl 2640.400],
1653510222,1727716698,1727716698660,1727716699,1727716699288,0,1,0,0,4,0,1653510222,0,1,0.02,0.0,0.0,0.0,0.0,2639.751,0.0,XAUUSDm,,
1653511294,1727716727,1727716727983,1727716728,1727716728627,0,1,0,0,4,0,1653511294,0,1,0.02,0.0,0.0,0.0,0.0,2639.306,0.0,XAUUSDm,,
1653511864,1727716746,1727716746691,1727716747,1727716747315,0,1,0,0,4,0,1653511864,0,1,0.02,0.0,0.0,0.0,0.0,2639.643,0.0,XAUUSDm,,
1653512396,1727716759,1727716759277,1727716759,1727716759912,0,1,0,0,4,0,1653512396,0,1,0.02,0.0,0.0,0.0,0.0,2640.35,0.0,XAUUSDm,,
1653513157,1727716780,1727716780882,1727716780,1727716780884,0,1,0,0,4,0,1653513157,0,1,0.02,0.0,0.0,0.0,0.0,2639.902,0.0,XAUUSDm,,
1653562833,1727718629,1727718629637,1727718629,1727718629638,0,1,0,0,4,0,1653562833,0,1,0.02,0.0,0.0,0.0,0.0,2639.076,0.0,XAUUSDm,,
